Date,PX_LAST
22/12/1998,20.8281
23/12/1998,21.0469
24/12/1998,21.5313
28/12/1998,21.3438
29/12/1998,21.7344
30/12/1998,21.6719
31/12/1998,21.9219
4/1/1999,21.6563
5/1/1999,22.1875
6/1/1999,22.5781
7/1/1999,22.4063
8/1/1999,23.1719
11/1/1999,23.2188
12/1/1999,22.625
13/1/1999,22.125
14/1/1999,21.75
15/1/1999,22.0781
19/1/1999,21.6719
20/1/1999,21.5938
21/1/1999,21.5
22/1/1999,21.0781
25/1/1999,21.5
26/1/1999,21.4375
27/1/1999,21.2656
28/1/1999,21
29/1/1999,21.1094
1/2/1999,21.2813
2/2/1999,21.2969
3/2/1999,21.3125
4/2/1999,21.9375
5/2/1999,22.2344
8/2/1999,22.125
9/2/1999,21.7031
10/2/1999,21.75
11/2/1999,21.5313
12/2/1999,21.4219
16/2/1999,21.2188
17/2/1999,21
18/2/1999,21.1563
19/2/1999,21.3281
22/2/1999,21.6875
23/2/1999,21.5
24/2/1999,21.4375
25/2/1999,21.4375
26/2/1999,21.4375
1/3/1999,21.1875
2/3/1999,21
3/3/1999,20.8594
4/3/1999,20.9219
5/3/1999,21.625
8/3/1999,21.7656
9/3/1999,21.5781
10/3/1999,21.875
11/3/1999,22.1094
12/3/1999,22.0156
15/3/1999,22.0625
16/3/1999,21.9688
17/3/1999,21.9063
18/3/1999,22.375
19/3/1999,22.3281
22/3/1999,22.3906
23/3/1999,21.8281
24/3/1999,21.8438
25/3/1999,21.9219
26/3/1999,21.75
29/3/1999,22.1094
30/3/1999,22.0625
31/3/1999,21.75
1/4/1999,22
5/4/1999,22.2656
6/4/1999,21.875
7/4/1999,22.1094
8/4/1999,22.4219
9/4/1999,22.3125
12/4/1999,22.9688
13/4/1999,23.25
14/4/1999,24.375
15/4/1999,25.3125
16/4/1999,25.5938
19/4/1999,25.8594
20/4/1999,25.5469
21/4/1999,25.6563
22/4/1999,25.25
23/4/1999,25.625
26/4/1999,25.375
27/4/1999,25.875
28/4/1999,27.25
29/4/1999,27.4531
30/4/1999,27.125
3/5/1999,27.75
4/5/1999,27.5781
5/5/1999,27.9063
6/5/1999,28.1406
7/5/1999,28.2031
10/5/1999,28.0469
11/5/1999,28
12/5/1999,27.2969
13/5/1999,27.1875
14/5/1999,27.1094
17/5/1999,27.0781
18/5/1999,26.4219
19/5/1999,26.6875
20/5/1999,26.375
21/5/1999,26.3594
24/5/1999,26.25
25/5/1999,26
26/5/1999,25.75
27/5/1999,25.1563
28/5/1999,24.6563
1/6/1999,25.7188
2/6/1999,25.6875
3/6/1999,25.7656
4/6/1999,26.25
7/6/1999,26.3281
